Group,Name,Type,Target Type,Target ID,Description,Start Date,Start Time,End Date,End Time,Assignees,Depends On Tasks,Subtasks,Progress
13 Week Implementation - Light; Week 7: The Customer Experience,SC: Connecting the Dots,Success Champion Training,job,,"Plans, schedules, budgets working together. Champion learns to talk about JobTread as a system, not a list of features.",2026-06-26,,2026-06-26,,Megan Peyton,13 Week Implementation - Light; Week 6: Closing the Loop; Week 6 - Closing the Loop,"Check accountability: did they complete Week 6 commitment?; Review Champion Playbook Chapter 7 with the Champion; Identify who is seeing connections, who is treating tools as separate; Discuss how to frame JobTread as a system in team conversations; Walk through one job: trace it through plans, budget, schedule together; Identify breaks in the flow (information that drops between tools); Capture commitment: have one conversation pointing out a tool connection; PREP: Review Chapter 8 (Closing the Loop) before next session",0
13 Week Implementation - Light; Week 8: Sales Workflow,,,job,,,2026-06-29,,2026-07-03,,,,,0
13 Week Implementation - Light; Week 8: Sales Workflow,Week 8 - Sales Workflow,Deliverable Build,job,,"Document workflow, proposals, contracts, e-signatures.",2026-06-29,,2026-07-03,,Megan Peyton,13 Week Implementation - Light; Week 7: The Customer Experience; Week 7 - The Customer Experience,"Build slide deck and Loom walkthrough for Documents, Proposals, Contracts; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Confirm change order workflow tested; PREP: Verify QBO sync working correctly; PREP: Get leadership signoff on financial rollout content; PREP: Identify which jobs use new invoicing flow first",0
13 Week Implementation - Light; Week 8: Sales Workflow,SC: Closing the Loop,Success Champion Training,job,,"Time tracking live. System is now operating, not being built. Champion learns to use data as feedback, not surveillance.",2026-07-03,,2026-07-03,,Megan Peyton,13 Week Implementation - Light; Week 7: The Customer Experience; Week 7 - The Customer Experience,"Check accountability: did they complete Week 7 commitment?; Review Champion Playbook Chapter 8 with the Champion; Discuss field team time tracking consistency; Talk through framing time data as feedback for the team, not against; Identify time entries that look suspicious or missing; Walk through time entries for one job, compare to estimates; Capture commitment: bring one observation from time data to the team; PREP: Review Chapter 9 (Carrying the Customer Experience) before next session",0
13 Week Implementation - Light; Week 9: Financial Closure,,,job,,,2026-07-06,,2026-07-10,,,,,0
13 Week Implementation - Light; Week 9: Financial Closure,Invoice #3,PAYMENT,job,,,2026-07-06,,2026-07-06,,Megan Peyton; Katie Norris,13 Week Implementation - Light; Week 8: Sales Workflow; Week 8 - Sales Workflow,,0
13 Week Implementation - Light; Week 9: Financial Closure,Week 9 - Financial Closure,Deliverable Build,job,,"Change orders, POs, invoicing, cost tracking.",2026-07-06,,2026-07-10,,Megan Peyton,13 Week Implementation - Light; Week 8: Sales Workflow; Week 8 - Sales Workflow,Build slide deck and Loom walkthrough for Financial Operations; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Identify lagging adoption areas to address next week; PREP: Schedule any 1:1 reinforcement sessions needed; PREP: Document tool-specific edge cases surfacing from team,0
13 Week Implementation - Light; Week 9: Financial Closure,SC: Carrying the Customer Experience,Success Champion Training,job,,Selections live with customers. Champion role expands to protecting the customer experience while team learns.,2026-07-10,,2026-07-10,,Megan Peyton,13 Week Implementation - Light; Week 8: Sales Workflow; Week 8 - Sales Workflow,Check accountability: did they complete Week 8 commitment?; Review Champion Playbook Chapter 9 with the Champion; Identify who owns customer-facing selections work; Walk through the customer-facing selections experience together; Discuss feedback loop with team members using selections with customers; Plan a quick recovery protocol if a customer hits something broken; Capture commitment: check in personally with one team member using selections this week; PREP: Review Chapter 10 (Standing Behind the Process) before next session,0
13 Week Implementation - Light; Week 10: Refinement Week,,,job,,,2026-07-13,,2026-07-17,,,,,0
13 Week Implementation - Light; Week 10: Refinement Week,Week 10 - Refinement Week,Deliverable Build,job,,Catch-up week for any tools needing reinforcement.,2026-07-13,,2026-07-17,,Megan Peyton,13 Week Implementation - Light; Week 9: Financial Closure; Week 9 - Financial Closure,Identify lagging adoption areas; Schedule targeted 1:1 reinforcement sessions; Refine workflows based on team feedback; Address Success Champion questions; Document tool-specific edge cases; PREP: Identify lagging adoption areas to address next week; PREP: Schedule any 1:1 reinforcement sessions needed; PREP: Document tool-specific edge cases surfacing from team,0
13 Week Implementation - Light; Week 10: Refinement Week,SC: Standing Behind the Process,Success Champion Training,job,,Proposals and contracts going out. Champion learns to treat quality control as a leadership act.,2026-07-17,,2026-07-17,,Megan Peyton,13 Week Implementation - Light; Week 9: Financial Closure; Week 9 - Financial Closure,"Check accountability: did they complete Week 9 commitment?; Review Champion Playbook Chapter 10 with the Champion; Identify who reviews proposals before they go out, what review checks for; Discuss what good document quality control looks like beyond proofreading; Walk through last 3 proposals or contracts that went out, evaluate quality; Identify any templates being modified job-by-job (template gaps); Capture commitment: personally review one document before it goes out this week; PREP: Review Chapter 11 (Closing the Books with Confidence) before next session",0
13 Week Implementation - Light; Week 11: Adoption Deepening,,,job,,,2026-07-20,,2026-07-24,,,,,0
13 Week Implementation - Light; Week 11: Adoption Deepening,Week 11 - Adoption Deepening,Deliverable Build,job,,"Reinforcement of habits, address any holdouts.",2026-07-20,,2026-07-24,,Megan Peyton,13 Week Implementation - Light; Week 10: Refinement Week; Week 10 - Refinement Week,Run adoption metrics review; Identify any holdouts and create targeted plans; Reinforce habits with Success Champion; Begin dashboards conversation with leadership; PREP: Confirm KPIs leadership wants to track; PREP: Verify role-based dashboard requirements; PREP: Schedule final review meeting with leadership; PREP: Prep Support Lab onboarding materials,0
13 Week Implementation - Light; Week 11: Adoption Deepening,SC: Closing the Books with Confidence,Success Champion Training,job,,Full financial loop live. Champion helps team trust the data and formalize change orders religiously.,2026-07-24,,2026-07-24,,Megan Peyton,13 Week Implementation - Light; Week 10: Refinement Week; Week 10 - Refinement Week,Check accountability: did they complete Week 10 commitment?; Review Champion Playbook Chapter 11 with the Champion; Discuss whether change orders are being captured or happening verbally; Talk through who owns invoicing now and their confidence level; Walk through one job change orders trace from discussion to billing; Identify any POs still going through email instead of JobTread; Capture commitment: every change order discussed gets entered same day; PREP: Review Chapter 12 (Carrying It Forward) before next session,0
13 Week Implementation - Light; Week 12: Leadership Visibility & Handoff,,,job,,,2026-07-27,,2026-07-31,,,,,0
13 Week Implementation - Light; Week 12: Leadership Visibility & Handoff,Week 12 - Leadership Visibility & Handoff,Deliverable Build,job,,"Leadership visibility, transition into Support Lab.",2026-07-27,,2026-07-31,,Megan Peyton,13 Week Implementation - Light; Week 11: Adoption Deepening; Week 11 - Adoption Deepening,Configure role-based dashboards; Build out KPI reports; Final adoption review with leadership; Deliver 60/90-day plan; Onboard client to Support Lab community; Document open items for ongoing support; PREP: Document open items for Support Lab; PREP: Schedule 30/60/90-day check-ins; PREP: Confirm client onboarded to Skool community; PREP: Wrap up final invoice and engagement closeout,0
13 Week Implementation - Light; Week 12: Leadership Visibility & Handoff,SC: Carrying It Forward,Success Champion Training,job,,"Final session. Champion prepares to carry the work forward after consultant steps back. Support Lab handoff, ongoing practice setup.",2026-07-31,,2026-07-31,,Megan Peyton,13 Week Implementation - Light; Week 11: Adoption Deepening; Week 11 - Adoption Deepening,"Check accountability: did they complete Week 11 commitment?; Review Champion Playbook Chapter 12 with the Champion; Discuss who has grown most over 12 weeks, who least; Identify habits that will be fragile after engagement ends; Walk through Support Lab community: how to use it as ongoing resource; Outline approach for onboarding new team members to JobTread; Discuss how to evaluate new JobTread features as they come out; Capture final commitment: one ongoing practice they will hold themselves to; Celebrate what they have built. They earned it.",0
