Group,Name,Type,Target Type,Target ID,Description,Start Date,Start Time,End Date,End Time,Assignees,Depends On Tasks,Subtasks,Progress
13 Week Implementation - Heavy; Week 3: The Heartbeat Build,Week 3 - The Heartbeat Build,Deliverable Build,job,,"Full budget template construction with formulas, assemblies, and reusable structures.",2026-05-25,,2026-05-29,,Megan Peyton,13 Week Implementation - Heavy; Week 2: Pipeline & Templates; Week 2 - Pipeline & Templates,Build budget template with formulas; Configure cost assemblies; Build reusable budget structures; Verify budget logic with leadership; Champion training session 3 (~45 min); PREP: Collect plan examples and typical project types; PREP: Gather parameter requirements for builds; PREP: Identify SF formulas or other calculations; PREP: Confirm plans-to-budget logic with leadership,0
13 Week Implementation - Heavy; Week 3: The Heartbeat Build,SC: Holding the Team to New Habits,Success Champion Training,job,,"First team rollout week. Champion learns to be visible, model the tool, handle resistance with curiosity.",2026-05-29,,2026-05-29,,Megan Peyton,13 Week Implementation - Heavy; Week 2: Pipeline & Templates; Week 2 - Pipeline & Templates,"Check accountability: did they complete Week 2 commitment?; Review Champion Playbook Chapter 3 with the Champion; Discuss who showed up and engaged this week, who did not; Talk through the first user effect (leader visibility drives team adoption); Practice deflection: how to say I will get back to you on that; Identify any teammates not logged in. Make a personal outreach plan; Capture commitment: use the new tool in front of at least 3 teammates this week; PREP: Review Chapter 4 (Reading the Room) before next session",0
13 Week Implementation - Heavy; Week 4: Plans & Parameters,,,job,,,2026-06-01,,2026-06-05,,,,,0
13 Week Implementation - Heavy; Week 4: Plans & Parameters,Week 4 - Plans & Parameters,Deliverable Build,job,,"Plans tab structure, parameter library tied to budget.",2026-06-01,,2026-06-05,,Megan Peyton,13 Week Implementation - Heavy; Week 3: The Heartbeat Build; Week 3 - The Heartbeat Build,"Build plans tab structure; Configure parameter library; Tie parameters to budget assemblies; Test plans-to-budget flow; Champion training session 4 (~45 min); PREP: Collect existing schedule examples or templates; PREP: Gather typical project milestones and durations; PREP: Collect selections lists and current allowance structure; PREP: Identify selection package logic (good/better/best, etc.)",0
13 Week Implementation - Heavy; Week 4: Plans & Parameters,SC: Reading the Room,Success Champion Training,job,,"Champion learns to see adoption patterns. Reading JobTread activity data, distinguishing struggle from opt-out.",2026-06-05,,2026-06-05,,Megan Peyton,13 Week Implementation - Heavy; Week 3: The Heartbeat Build; Week 3 - The Heartbeat Build,"Check accountability: did they complete Week 3 commitment?; Review Champion Playbook Chapter 4 with the Champion; Walk through JobTread user activity reports together; Identify who is engaging, struggling, and quietly opting out; Discuss the difference between needs help and needs a different conversation; Plan one private low-pressure conversation with a struggling teammate; Capture commitment: have one struggling teammate conversation this week; PREP: Review Chapter 5 (Becoming the Question Person) before next session",0
13 Week Implementation - Heavy; Week 5: Schedule & Selections Build,,,job,,,2026-06-08,,2026-06-12,,,,,0
13 Week Implementation - Heavy; Week 5: Schedule & Selections Build,Invoice #2,PAYMENT,job,,,2026-06-08,,2026-06-08,,Megan Peyton; Katie Norris,13 Week Implementation - Heavy; Week 4: Plans & Parameters; Week 4 - Plans & Parameters,,0
13 Week Implementation - Heavy; Week 5: Schedule & Selections Build,Week 5 - Schedule & Selections Build,Deliverable Build,job,,Schedule templates and full selections catalog with allowances.,2026-06-08,,2026-06-12,,Megan Peyton,13 Week Implementation - Heavy; Week 4: Plans & Parameters; Week 4 - Plans & Parameters,"Build schedule templates with dependencies; Configure schedule milestones; Build full selections catalog; Configure allowances and packages; Set up customer-facing selection experience; Champion training session 5 (~45 min); PREP: Collect customer list for import; PREP: Identify active jobs that should be loaded; PREP: Confirm integration credentials (QBO, etc.); PREP: Verify Success Champion bandwidth and availability",0
13 Week Implementation - Heavy; Week 5: Schedule & Selections Build,SC: Becoming the Question Person,Success Champion Training,job,,"Volume of team questions ramping up. Champion learns to triage, redirect, and build internal knowledge base.",2026-06-12,,2026-06-12,,Megan Peyton,13 Week Implementation - Heavy; Week 4: Plans & Parameters; Week 4 - Plans & Parameters,"Check accountability: did they complete Week 4 commitment?; Review Champion Playbook Chapter 5 with the Champion; Discuss how the question volume feels, energy levels; Identify repeated questions (training/documentation gaps); Practice triaging: immediate vs can-wait vs redirect-to-help; Help Champion start a running list of unresolved questions; Capture commitment: redirect at least 1 question this week instead of answering it; PREP: Review Chapter 6 (Working with the Heartbeat) before next session",0
13 Week Implementation - Heavy; Week 6: Account Confirmation,,,job,,,2026-06-15,,2026-06-19,,,,,0
13 Week Implementation - Heavy; Week 6: Account Confirmation,Week 6 - Account Confirmation,Deliverable Build,job,,Live customer/job data loaded. Migration from prior platform completed if applicable. Champion fully trained on condensed rollout cadence.,2026-06-15,,2026-06-19,,Megan Peyton,13 Week Implementation - Heavy; Week 5: Schedule & Selections Build; Week 5 - Schedule & Selections Build,"Import customer list; Load active job data; Complete migration from prior platform (if applicable); Configure integrations (QBO, etc.); Final document templates completed; Champion completes full system walkthrough; Brief Champion on condensed rollout cadence; Pre-rollout team communication sent; PREP: Confirm full team email list for JobTread invitations; PREP: Schedule team kickoff meeting time; PREP: Get leadership signoff on Tier 1 rollout content; PREP: Identify any team members who need extra support",0
13 Week Implementation - Heavy; Week 6: Account Confirmation,SC: Working with the Heartbeat,Success Champion Training,job,,"Budgets are live. Champion learns to handle the weight of financial responsibility, set the precedent for surfacing mistakes.",2026-06-19,,2026-06-19,,Megan Peyton,13 Week Implementation - Heavy; Week 5: Schedule & Selections Build; Week 5 - Schedule & Selections Build,"Check accountability: did they complete Week 5 commitment?; Review Champion Playbook Chapter 6 with the Champion; Discuss how the team is responding to budgets being live; Identify who owns budgets day to day, how they are doing; Talk through how to handle the first budget mistake without making the team defensive; Walk through one job budget together, identify insights; Capture commitment: check budget before any cost decision this week; PREP: Review Chapter 7 (Connecting the Dots) before next session",0
13 Week Implementation - Heavy; Week 7: Foundation Habits Launch,,,job,,,2026-06-22,,2026-06-26,,,,,0
13 Week Implementation - Heavy; Week 7: Foundation Habits Launch,Week 7 - Foundation Habits Launch,Deliverable Build,job,,First team rollout. Habit-building tools go live across the whole team.,2026-06-22,,2026-06-26,,Megan Peyton,13 Week Implementation - Heavy; Week 6: Account Confirmation; Week 6 - Account Confirmation,"Build slide deck and Loom walkthrough for Messaging, To-Dos, Daily Logs; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Confirm budget, schedule, and plans templates fully tested together; PREP: Get leadership signoff on combined Tier 2 rollout content; PREP: Identify which estimators/PMs go first; PREP: Brief Champion on combined rollout cadence",0
13 Week Implementation - Heavy; Week 7: Foundation Habits Launch,SC: Connecting the Dots,Success Champion Training,job,,"Plans, schedules, budgets working together. Champion learns to talk about JobTread as a system, not a list of features.",2026-06-26,,2026-06-26,,Megan Peyton,13 Week Implementation - Heavy; Week 6: Account Confirmation; Week 6 - Account Confirmation,"Check accountability: did they complete Week 6 commitment?; Review Champion Playbook Chapter 7 with the Champion; Identify who is seeing connections, who is treating tools as separate; Discuss how to frame JobTread as a system in team conversations; Walk through one job: trace it through plans, budget, schedule together; Identify breaks in the flow (information that drops between tools); Capture commitment: have one conversation pointing out a tool connection; PREP: Review Chapter 8 (Closing the Loop) before next session",0
13 Week Implementation - Heavy; Week 8: The Heartbeat Begins,,,job,,,2026-06-29,,2026-07-03,,,,,0
13 Week Implementation - Heavy; Week 8: The Heartbeat Begins,Week 8 - The Heartbeat Begins,Deliverable Build,job,,Heavy track condensed rollout — heartbeat tools go live together. Schedules and plans activate alongside budgets.,2026-06-29,,2026-07-03,,Megan Peyton,13 Week Implementation - Heavy; Week 7: Foundation Habits Launch; Week 7 - Foundation Habits Launch,"Build slide deck and Loom walkthrough for Budgets, Plans, Schedules; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Confirm cost codes mapped correctly; PREP: Verify time tracking permissions configured; PREP: Get leadership signoff on time tracking content; PREP: Communicate change to field team in advance",0
13 Week Implementation - Heavy; Week 8: The Heartbeat Begins,SC: Closing the Loop,Success Champion Training,job,,"Time tracking live. System is now operating, not being built. Champion learns to use data as feedback, not surveillance.",2026-07-03,,2026-07-03,,Megan Peyton,13 Week Implementation - Heavy; Week 7: Foundation Habits Launch; Week 7 - Foundation Habits Launch,"Check accountability: did they complete Week 7 commitment?; Review Champion Playbook Chapter 8 with the Champion; Discuss field team time tracking consistency; Talk through framing time data as feedback for the team, not against; Identify time entries that look suspicious or missing; Walk through time entries for one job, compare to estimates; Capture commitment: bring one observation from time data to the team; PREP: Review Chapter 9 (Carrying the Customer Experience) before next session",0
13 Week Implementation - Heavy; Week 9: Closing the Loop,,,job,,,2026-07-06,,2026-07-10,,,,,0
13 Week Implementation - Heavy; Week 9: Closing the Loop,Invoice #3,PAYMENT,job,,,2026-07-06,,2026-07-06,,Megan Peyton; Katie Norris,13 Week Implementation - Heavy; Week 8: The Heartbeat Begins; Week 8 - The Heartbeat Begins,,0
13 Week Implementation - Heavy; Week 9: Closing the Loop,Week 9 - Closing the Loop,Deliverable Build,job,,Time logged against budgets and schedules. Cost codes activated.,2026-07-06,,2026-07-10,,Megan Peyton,13 Week Implementation - Heavy; Week 8: The Heartbeat Begins; Week 8 - The Heartbeat Begins,Build slide deck and Loom walkthrough for Time Tracking; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Confirm full sales workflow tested end to end; PREP: Test e-signature workflow; PREP: Get leadership signoff on combined sales rollout content; PREP: Identify first jobs to use new sales flow,0
13 Week Implementation - Heavy; Week 9: Closing the Loop,SC: Carrying the Customer Experience,Success Champion Training,job,,Selections live with customers. Champion role expands to protecting the customer experience while team learns.,2026-07-10,,2026-07-10,,Megan Peyton,13 Week Implementation - Heavy; Week 8: The Heartbeat Begins; Week 8 - The Heartbeat Begins,Check accountability: did they complete Week 8 commitment?; Review Champion Playbook Chapter 9 with the Champion; Identify who owns customer-facing selections work; Walk through the customer-facing selections experience together; Discuss feedback loop with team members using selections with customers; Plan a quick recovery protocol if a customer hits something broken; Capture commitment: check in personally with one team member using selections this week; PREP: Review Chapter 10 (Standing Behind the Process) before next session,0
13 Week Implementation - Heavy; Week 10: Sales Workflow,,,job,,,2026-07-13,,2026-07-17,,,,,0
13 Week Implementation - Heavy; Week 10: Sales Workflow,Week 10 - Sales Workflow,Deliverable Build,job,,Full sales workflow rolled out together for customer-facing teams.,2026-07-13,,2026-07-17,,Megan Peyton,13 Week Implementation - Heavy; Week 9: Closing the Loop; Week 9 - Closing the Loop,"Build slide deck and Loom walkthrough for Selections, Proposals, Contracts; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Confirm change order workflow tested; PREP: Verify QBO sync working correctly; PREP: Get leadership signoff on financial rollout content; PREP: Identify which jobs use new invoicing flow first",0
13 Week Implementation - Heavy; Week 10: Sales Workflow,SC: Standing Behind the Process,Success Champion Training,job,,Proposals and contracts going out. Champion learns to treat quality control as a leadership act.,2026-07-17,,2026-07-17,,Megan Peyton,13 Week Implementation - Heavy; Week 9: Closing the Loop; Week 9 - Closing the Loop,"Check accountability: did they complete Week 9 commitment?; Review Champion Playbook Chapter 10 with the Champion; Identify who reviews proposals before they go out, what review checks for; Discuss what good document quality control looks like beyond proofreading; Walk through last 3 proposals or contracts that went out, evaluate quality; Identify any templates being modified job-by-job (template gaps); Capture commitment: personally review one document before it goes out this week; PREP: Review Chapter 11 (Closing the Books with Confidence) before next session",0
13 Week Implementation - Heavy; Week 11: Financial Closure,,,job,,,2026-07-20,,2026-07-24,,,,,0
13 Week Implementation - Heavy; Week 11: Financial Closure,Week 11 - Financial Closure,Deliverable Build,job,,"Change orders, POs, invoicing, cost tracking, document workflow.",2026-07-20,,2026-07-24,,Megan Peyton,13 Week Implementation - Heavy; Week 10: Sales Workflow; Week 10 - Sales Workflow,Build slide deck and Loom walkthrough for Financial Operations + Documents; Send content to leadership for approval; Receive leadership signoff before kickoff; Run live team kickoff session with Success Champion co-leading; Distribute session recording; Mid-week practice check-in with Success Champion; End-of-week adoption review; Document any holdouts or follow-ups; PREP: Confirm KPIs leadership wants to track; PREP: Verify role-based dashboard requirements; PREP: Schedule final review meeting with leadership; PREP: Prep Support Lab onboarding materials,0
13 Week Implementation - Heavy; Week 11: Financial Closure,SC: Closing the Books with Confidence,Success Champion Training,job,,Full financial loop live. Champion helps team trust the data and formalize change orders religiously.,2026-07-24,,2026-07-24,,Megan Peyton,13 Week Implementation - Heavy; Week 10: Sales Workflow; Week 10 - Sales Workflow,Check accountability: did they complete Week 10 commitment?; Review Champion Playbook Chapter 11 with the Champion; Discuss whether change orders are being captured or happening verbally; Talk through who owns invoicing now and their confidence level; Walk through one job change orders trace from discussion to billing; Identify any POs still going through email instead of JobTread; Capture commitment: every change order discussed gets entered same day; PREP: Review Chapter 12 (Carrying It Forward) before next session,0
13 Week Implementation - Heavy; Week 12: Leadership Visibility & Handoff,,,job,,,2026-07-27,,2026-07-31,,,,,0
13 Week Implementation - Heavy; Week 12: Leadership Visibility & Handoff,Week 12 - Leadership Visibility & Handoff,Deliverable Build,job,,"Leadership visibility, transition into Support Lab.",2026-07-27,,2026-07-31,,Megan Peyton,13 Week Implementation - Heavy; Week 11: Financial Closure; Week 11 - Financial Closure,Configure role-based dashboards; Build out KPI reports; Final adoption review with leadership; Deliver 60/90-day plan; Onboard client to Support Lab community; Document open items for ongoing support; PREP: Document open items for Support Lab; PREP: Schedule 30/60/90-day check-ins; PREP: Confirm client onboarded to Skool community; PREP: Wrap up final invoice and engagement closeout,0
13 Week Implementation - Heavy; Week 12: Leadership Visibility & Handoff,SC: Carrying It Forward,Success Champion Training,job,,"Final session. Champion prepares to carry the work forward after consultant steps back. Support Lab handoff, ongoing practice setup.",2026-07-31,,2026-07-31,,Megan Peyton,13 Week Implementation - Heavy; Week 11: Financial Closure; Week 11 - Financial Closure,"Check accountability: did they complete Week 11 commitment?; Review Champion Playbook Chapter 12 with the Champion; Discuss who has grown most over 12 weeks, who least; Identify habits that will be fragile after engagement ends; Walk through Support Lab community: how to use it as ongoing resource; Outline approach for onboarding new team members to JobTread; Discuss how to evaluate new JobTread features as they come out; Capture final commitment: one ongoing practice they will hold themselves to; Celebrate what they have built. They earned it.",0
